id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,A Pearl,Mitski,indie,sad,0.4,90,0.3,0.5,0.6
2,Madwoman,Laufey,jazz,sad,0.3,85,0.2,0.4,0.8
3,Ultraviolence,Lana Del Rey,indie,melancholy,0.5,100,0.3,0.4,0.5
4,Is There Someone Else,The Weeknd,rnb,sad,0.6,110,0.4,0.7,0.2
5,Fairy of Shampoo,TXT,kpop,chill,0.5,95,0.6,0.6,0.3
6,UGH,BTS,kpop,intense,0.9,140,0.5,0.8,0.1
7,ETA,NewJeans,kpop,happy,0.8,120,0.9,0.9,0.2
8,Telephone,Lady Gaga,pop,happy,0.9,122,0.9,0.9,0.1
9,Supernatural,NewJeans,kpop,chill,0.6,100,0.7,0.8,0.2
10,Best of Me,BTS,kpop,happy,0.85,125,0.8,0.9,0.2
11,NEW DROP,Don Toliver,hiphop,intense,0.9,130,0.6,0.8,0.1
12,Pose,Daddy Yankee,reggaeton,happy,0.95,130,0.9,0.9,0.1
13,Stateside,PinkPantheress,pop,chill,0.6,110,0.7,0.8,0.2
14,Paint the Town Red,Doja Cat,hiphop,confident,0.85,120,0.8,0.9,0.1
15,De Musica Ligera,Soda Stereo,rock,energetic,0.9,140,0.8,0.8,0.1
16,Heavy Love,Odetari,electronic,intense,0.95,150,0.6,0.9,0.1
17,Pyramids,Frank Ocean,rnb,chill,0.5,90,0.6,0.6,0.4
18,Me and Your Mama,Donald Glover,soul,intense,0.85,110,0.7,0.6,0.3
19,Like Him,Tyler The Creator,hiphop,chill,0.6,100,0.6,0.7,0.2
20,EeO,Bad Bunny,reggaeton,happy,0.9,125,0.9,0.9,0.1
21,Como La Flor,Selena,latin pop,nostalgic,0.65,90,0.7,0.75,0.3
22,A Dios Le Pido,Juanes,latin rock,uplifting,0.8,96,0.85,0.7,0.2
23,Smells Like Teen Spirit,Nirvana,rock,angry,0.95,117,0.55,0.45,0.01
24,BIRDS OF A FEATHER,Billie Eilish,pop,dreamy,0.55,82,0.6,0.65,0.4
25,Swang,Rae Sremmurd,hiphop,confident,0.75,134,0.8,0.9,0.05
26,Pied Piper,BTS,kpop,sexy,0.7,100,0.65,0.8,0.1
27,Use Your Heart,SWV,rnb,romantic,0.55,92,0.6,0.7,0.25
28,The Less I Know The Better,Tame Impala,indie,melancholy,0.6,120,0.5,0.7,0.3
29,Fire In My Heart,Escape From New York,electronic,dark,0.8,120,0.45,0.75,0.02
30,Nobody,Mitski,indie,bittersweet,0.6,118,0.55,0.8,0.1
31,ALL MINE,Brent Faiyaz,rnb,sultry,0.55,112,0.45,0.7,0.3
32,Sugar,Maroon 5,pop,romantic,0.8,120,0.9,0.85,0.1
33,The Boy Is Mine,Brandy,rnb,confident,0.7,92,0.6,0.75,0.2
